,episode,reward
0,0,-3333.6748024686913
1,1,-8119.706317466208
2,2,-8780.657818901129
3,3,-4075.3565536391943
4,4,-6858.082409543428
5,5,-9318.208353813676
6,6,-2094.689094938312
7,7,-3111.033095879623
8,8,-6162.111055234741
9,9,-7130.253316597996
10,10,-7750.811704464782
11,11,-8478.339324171859
12,12,-2107.6355673735025
13,13,-7138.710973108201
14,14,-2208.487976689175
15,15,-3765.2226457237916
16,16,-4056.102475948399
17,17,-4976.825819249757
18,18,-3212.619266105443
19,19,-2950.528571701404
20,20,-2698.328162285459
21,21,-3144.1486990775993
22,22,-3674.7320977586996
23,23,-7207.899974244064
24,24,-5027.446736427339
25,25,-3430.435693002867
26,26,-9197.859021650307
27,27,-6336.050045594015
28,28,-2757.4420133325157
29,29,-6833.493763503288
30,30,-3184.5390272762265
31,31,-5059.354493830374
32,32,-2112.6095760928706
33,33,-2659.6046237349756
34,34,-2102.7633833435502
35,35,-5568.643346224144
36,36,-5474.435128233821
37,37,-2844.0318568143384
38,38,-3371.395248370244
39,39,-2843.6853859629887
40,40,-2987.0389914595453
41,41,-2820.3405150454687
42,42,-5451.919978930289
43,43,-2646.0113447210906
44,44,-3079.9777409516996
45,45,-5112.816913449257
46,46,-4099.970361412994
47,47,-3258.7983732813736
48,48,-3153.812512365368
49,49,-5883.582049097413
50,50,-4220.375924081211
51,51,-6622.061008470855
52,52,-2843.926061621166
53,53,-3088.130469327246
54,54,-3073.86192231742
55,55,-3078.8879349545896
56,56,-3721.5489604865465
57,57,-3574.3767067310328
58,58,-4626.263647742668
59,59,-8302.799150937288
60,60,-3692.7445503763165
61,61,-3789.2313813430387
62,62,-7994.913769231791
63,63,-4737.010506518327
64,64,-9309.762799464432
65,65,-6569.495045595699
66,66,-7467.5145421014495
67,67,-7908.803077515179
68,68,-4302.324191924145
69,69,-7458.958912860321
70,70,-11695.100733351457
71,71,-3240.7459077121935
72,72,-4974.172376543338
73,73,-6894.5508538083695
74,74,-3684.913831816287
75,75,-7213.19485240244
76,76,-3344.1549307606374
77,77,-6411.0118169914085
78,78,-5618.312887076923
79,79,-4363.820475601137
80,80,-4813.319902670799
81,81,-4040.356975232558
82,82,-5009.81120740892
83,83,-2751.445298148386
84,84,-3278.636673009627
85,85,-4044.8804473214004
86,86,-3375.4000568924107
87,87,-4420.480804711027
88,88,-2629.254674064009
89,89,-2187.031643382911
90,90,-3490.427694684892
91,91,-6490.731456500834
92,92,-6240.942033214381
93,93,-2898.503853307671
94,94,-4703.135011869313
95,95,-4583.096738959237
96,96,-6431.691459975996
97,97,-5069.828973658543
98,98,-3888.273531732083
99,99,-4732.757947107329
100,100,-3675.573778904466
101,101,-3567.120560894872
102,102,-5146.5496762038165
103,103,-4240.50781125653
104,104,-5526.877818313935
105,105,-15643.42149207244
106,106,-2328.053555071735
107,107,-7107.51228032277
108,108,-3188.827328696146
109,109,-3033.974578077027
110,110,-2826.535497137628
111,111,-2119.9462567003416
112,112,-5936.309233235896
113,113,-6868.950639415028
114,114,-5511.573543797249
115,115,-6267.833147539155
116,116,-4434.687041964487
117,117,-3547.811602273299
118,118,-4552.527503337806
119,119,-6910.965900091341
120,120,-4087.623816209019
121,121,-3731.34759154395
122,122,-2564.1403151170307
123,123,-4099.413198685232
124,124,-5536.9812455609135
125,125,-4688.8879422049895
126,126,-5170.57028492009
127,127,-5760.724474806175
128,128,-7401.059245514589
129,129,-4448.712242722648
130,130,-5421.237518775701
131,131,-6864.475321648121
132,132,-3352.836283483771
133,133,-3668.969589667338
134,134,-2402.8079956469624
135,135,-5186.310491900564
136,136,-2441.2995600084328
137,137,-5148.733031554364
138,138,-3203.3211265045065
139,139,-2591.02031190056
140,140,-2387.0863622009947
141,141,-7412.922215635406
142,142,-4445.6222692646825
143,143,-3190.364892175071
144,144,-2489.4526933630004
145,145,-5003.653071165055
146,146,-3434.008664494578
147,147,-2183.61736005934
148,148,-9433.769320221349
149,149,-2290.118434925646
150,150,-4243.917793148278
151,151,-2301.593416112278
152,152,-6884.741814556051
153,153,-2346.4150240730014
154,154,-5223.91497345296
155,155,-2734.691750673568
156,156,-3556.4432241011973
157,157,-7722.925847364935
158,158,-5868.587479549993
159,159,-2544.864379993004
160,160,-2522.932538974168
161,161,-2191.6038663763393
162,162,-3764.47215815117
163,163,-4366.283605337845
164,164,-4222.510343533277
165,165,-6516.67107973766
166,166,-3004.9826525897956
167,167,-4615.676644912412
168,168,-2506.757668726893
169,169,-2536.702845710185
170,170,-2721.465909625622
171,171,-6496.1022137573045
172,172,-2459.805628067589
173,173,-7718.900313708706
174,174,-5489.39274169149
175,175,-2835.1989674337665
176,176,-2066.0023484282146
177,177,-4608.517133121665
178,178,-2774.9723427475374
179,179,-2372.7318873578724
180,180,-3837.4846594957226
181,181,-2118.5239376413933
182,182,-6519.610475522798
183,183,-4953.349131731611
184,184,-6532.975677968385
185,185,-3113.4034677450954
186,186,-2645.5982518061255
187,187,-3691.9416749092725
188,188,-5339.788402177432
189,189,-2166.936955901411
190,190,-2284.463963484705
191,191,-2112.074304485344
192,192,-2096.6163514833547
193,193,-2245.68594430308
194,194,-4395.058679123675
195,195,-8360.027636744226
196,196,-3303.441265465317
197,197,-3795.7853584485692
198,198,-2158.5600702229162
199,199,-5725.198449827076
200,200,-3469.836375589486
201,201,-3346.5125257796713
202,202,-2322.7625787067614
203,203,-3867.485267843849
204,204,-4129.89447265681
205,205,-5794.843437159651
206,206,-2914.7445336463647
207,207,-3340.07499240414
208,208,-2280.328975763998
209,209,-4515.0097320993955
210,210,-7465.858922905955
211,211,-3301.8611783816978
212,212,-2202.6124920441757
213,213,-5136.865996169693
214,214,-6615.667337822535
215,215,-3219.2402702094955
216,216,-3500.957788864863
217,217,-4182.741090324701
218,218,-3635.1567069817497
219,219,-3163.7874938455407
220,220,-4575.2853848371815
221,221,-2129.1979050259483
222,222,-2077.8347425219863
223,223,-6471.607096689956
224,224,-2882.4511336190153
225,225,-2180.064942450152
226,226,-2136.0331018135266
227,227,-3131.6100882485866
228,228,-7149.396356385321
229,229,-6407.657838210129
230,230,-7628.827096712451
231,231,-2476.606365864986
232,232,-2446.8033609958165
233,233,-6641.360962209641
234,234,-7962.971590867834
235,235,-3138.2307715539346
236,236,-2185.239298144975
237,237,-6415.94588982347
238,238,-6620.546665853816
239,239,-5290.977778999384
240,240,-2194.6722230090854
241,241,-2168.6978498382596
242,242,-3692.422738482119
243,243,-3948.6042715629824
244,244,-6159.9526018038805
245,245,-2182.0148173873213
246,246,-2154.7546730215527
247,247,-2250.1693487852626
248,248,-4415.861295423714
249,249,-3418.6941310009133
250,250,-2115.1961800962695
251,251,-2386.8135489878605
252,252,-3352.8770381909144
253,253,-4206.4081692831505
254,254,-3007.838628141304
255,255,-2159.780832219646
256,256,-2208.988289311575
257,257,-3006.871946359283
258,258,-3280.234552140866
259,259,-2169.1887585483687
260,260,-2952.1066024939105
261,261,-2458.259888890616
262,262,-6348.415618451576
263,263,-2168.440311357276
264,264,-7427.45028511377
265,265,-2729.1098206612924
266,266,-2179.796250288104
267,267,-5429.223129971055
268,268,-2312.113298564461
269,269,-2174.2342894325666
270,270,-5529.448860664603
271,271,-2283.2115941966526
272,272,-3351.8019004889197
273,273,-5948.736887455363
274,274,-2762.3992115521537
275,275,-4251.680019084754
276,276,-2192.2354061275523
277,277,-4395.95398234817
278,278,-8009.215362244328
279,279,-3954.766981040975
280,280,-5531.9702383580225
281,281,-3335.287542120828
282,282,-6231.325742466871
283,283,-5547.571597912367
284,284,-2918.125123758374
285,285,-6273.030423858276
286,286,-6343.13709806081
287,287,-6471.519781145336
288,288,-7080.552781982332
289,289,-6331.453922590808
290,290,-5446.127922942606
291,291,-3219.186870818018
292,292,-2080.0204312350043
293,293,-2503.4319213428994
294,294,-4062.7580096121596
295,295,-3899.9448313661787
296,296,-3507.568852826911
297,297,-3296.6295674569387
298,298,-8478.565960738553
299,299,-2188.2558806362367
300,300,-2296.156814996273
301,301,-2270.5413897654735
302,302,-2429.0813744317966
303,303,-2191.4961739690075
304,304,-2378.960205469043
305,305,-2346.2535850158943
306,306,-2349.551119487153
307,307,-3887.0209523007998
308,308,-4383.796096269352
309,309,-2409.917316257049
310,310,-5067.079811812913
311,311,-6171.943819704153
312,312,-2487.200379474016
313,313,-4544.745188765954
314,314,-7117.4653309267105
315,315,-4871.921135114951
316,316,-3462.044795022837
317,317,-7650.891204244584
318,318,-3613.2673153983005
319,319,-5715.559485301174
320,320,-5262.651369185676
321,321,-6522.858694458675
322,322,-3750.9949058011653
323,323,-3209.36509218175
324,324,-2769.0731732366376
325,325,-8714.915755387152
326,326,-5591.226537590046
327,327,-3728.0912917363275
328,328,-4429.901357870111
329,329,-3442.355675661749
330,330,-2109.170688687076
331,331,-3997.4625422336394
332,332,-4389.282561789982
333,333,-4576.736373804213
334,334,-2395.2548944752525
335,335,-4691.04465439195
336,336,-2141.9443560004584
337,337,-3639.349937838315
338,338,-6003.670209808347
339,339,-4125.192729517998
340,340,-4493.190010744165
341,341,-132.21582494014092
342,342,-3654.153952209518
343,343,-4535.727854203257
344,344,-2271.654866030682
345,345,-2338.9059833216
346,346,-5362.066003522467
347,347,-5590.176418219274
348,348,-3503.828335596435
349,349,-1918.7273526664108
350,350,-522.5730156290188
351,351,-3709.711498581295
352,352,-2269.4550501218564
353,353,-3800.451581299425
354,354,-5506.182616017466
355,355,-4107.758612350144
356,356,-3071.2085981022037
357,357,-2492.7680818509407
358,358,-5553.387498882989
359,359,-2120.4169749436437
360,360,-4781.992263110583
361,361,-4523.507445384201
362,362,-4878.5334465822725
363,363,-5494.545046351438
364,364,-4285.677398726755
365,365,-3315.097298771173
366,366,-2196.373912395938
367,367,-2574.5446208600033
368,368,-3620.673013638054
369,369,-2129.6895597462753
370,370,-5060.760223095784
371,371,-2326.028916746089
372,372,-4577.034830687108
373,373,-17957.683269364887
374,374,-2617.935196403395
375,375,-2311.0423870461527
376,376,-3800.9524476318275
377,377,-2521.2138057546003
378,378,-7368.804433746211
379,379,-2917.9632663809098
380,380,-468.11442240040674
381,381,-6007.169541485017
382,382,-2875.7449295076153
383,383,-3826.341426691888
384,384,-4748.468882803387
385,385,-5208.668045972532
386,386,-3321.646354546998
387,387,-373.12553816556056
388,388,-2489.2074411141625
389,389,-805.5743178261318
390,390,-2652.325603986048
391,391,-3229.5670362848323
392,392,-2144.1543125894377
393,393,-1670.918505350322
394,394,-753.5654765662607
395,395,-301.2124390041763
396,396,-2377.392308073046
397,397,-2596.660279470138
398,398,-611.5043562526903
399,399,-2078.1729230525602
400,400,-3063.8942294784397
401,401,-2352.9171347501137
402,402,-4340.421358278079
403,403,-2593.8534006505515
404,404,-978.4107484458999
405,405,-1919.865544614979
406,406,-3587.7549323761496
407,407,-1329.1854314595216
408,408,-504.7635832109829
409,409,-2339.5167921905245
410,410,-1281.0415266867408
411,411,-1428.0880033245262
412,412,-1759.9638480110523
413,413,-2774.9811605550394
414,414,-2539.247419278106
415,415,-7234.141256887146
416,416,-2995.9897805294213
417,417,-3893.0791328588653
418,418,-5667.321425859864
419,419,-5743.825752883571
420,420,-2739.0982659522892
421,421,-5217.730065350648
422,422,-2273.31155162376
423,423,-6444.362670980112
424,424,-4190.374722221957
425,425,-2580.095961742061
426,426,-721.5952737006207
427,427,-2833.8154592298115
428,428,-4455.009104918201
429,429,-2545.117008372433
430,430,-1820.545830941767
431,431,-3295.0059155677127
